psr_category,lead_group,n_forecasts,n_valid_days,n_significant_rain_forecasts,observed_rate_pct,cluster_ci_low_pct,cluster_ci_high_pct,hko_probability_band
Low,1-3,2618,936,29,1.1,0.6,1.8,<30%
Low,4-6,2573,926,66,2.6,1.6,3.7,<30%
Low,7-9,2646,974,101,3.8,2.8,5.1,<30%
Medium Low,1-3,393,224,37,9.4,6.0,13.5,30-44%
Medium Low,4-6,532,285,80,15.0,11.2,19.7,30-44%
Medium Low,7-9,664,365,139,20.9,16.6,25.4,30-44%
Medium,1-3,275,165,79,28.7,21.7,36.5,45-54%
Medium,4-6,322,184,112,34.8,27.3,42.8,45-54%
Medium,7-9,303,181,155,51.2,43.3,59.8,45-54%
Medium High,1-3,184,110,97,52.7,42.0,63.7,55-69%
Medium High,4-6,169,106,101,59.8,48.6,70.6,55-69%
Medium High,7-9,96,60,51,53.1,37.0,67.1,55-69%
High,1-3,289,123,223,77.2,68.6,85.0,>=70%
High,4-6,154,74,106,68.8,56.6,80.3,>=70%
High,7-9,31,21,19,61.3,35.0,84.6,>=70%
