psr_category,lead_group,n_forecasts,n_valid_days,n_significant_rain_forecasts,observed_rate_pct,cluster_ci_low_pct,cluster_ci_high_pct,hko_probability_band
Low,1-3,2618,936,32,1.2,0.7,1.9,<30%
Low,4-6,2573,926,68,2.6,1.7,3.8,<30%
Low,7-9,2646,974,98,3.7,2.6,4.9,<30%
Medium Low,1-3,393,224,38,9.7,6.1,13.9,30-44%
Medium Low,4-6,532,285,80,15.0,11.2,19.4,30-44%
Medium Low,7-9,664,365,144,21.7,17.2,26.5,30-44%
Medium,1-3,275,165,74,26.9,20.1,34.2,45-54%
Medium,4-6,322,184,112,34.8,27.2,42.7,45-54%
Medium,7-9,303,181,154,50.8,42.5,59.7,45-54%
Medium High,1-3,184,110,96,52.2,41.3,63.3,55-69%
Medium High,4-6,169,106,98,58.0,47.0,69.3,55-69%
Medium High,7-9,96,60,47,49.0,35.0,62.1,55-69%
High,1-3,289,123,222,76.8,68.6,84.6,>=70%
High,4-6,154,74,104,67.5,54.5,79.0,>=70%
High,7-9,31,21,19,61.3,35.0,84.6,>=70%
