metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
Tmax,1,at_least_10_mm,189,189,1.017,0.271
Tmax,1,under_10_mm,1271,1271,0.94,-0.189
Tmax,2,at_least_10_mm,189,189,1.16,0.419
Tmax,2,under_10_mm,1270,1270,1.095,-0.211
Tmax,3,at_least_10_mm,189,189,1.315,0.583
Tmax,3,under_10_mm,1269,1269,1.19,-0.275
Tmax,4,at_least_10_mm,189,189,1.473,0.784
Tmax,4,under_10_mm,1268,1268,1.256,-0.331
Tmax,5,at_least_10_mm,189,189,1.546,0.837
Tmax,5,under_10_mm,1267,1267,1.342,-0.375
Tmax,6,at_least_10_mm,189,189,1.659,0.938
Tmax,6,under_10_mm,1266,1266,1.417,-0.416
Tmax,7,at_least_10_mm,189,189,1.806,1.059
Tmax,7,under_10_mm,1265,1265,1.51,-0.473
Tmax,8,at_least_10_mm,189,189,1.858,1.154
Tmax,8,under_10_mm,1264,1264,1.637,-0.538
Tmax,9,at_least_10_mm,189,189,2.051,1.319
Tmax,9,under_10_mm,1262,1262,1.755,-0.525
Tmin,1,at_least_10_mm,189,189,0.824,0.468
Tmin,1,under_10_mm,1271,1271,0.669,-0.319
Tmin,2,at_least_10_mm,189,189,0.969,0.738
Tmin,2,under_10_mm,1270,1270,0.773,-0.228
Tmin,3,at_least_10_mm,189,189,1.062,0.849
Tmin,3,under_10_mm,1269,1269,0.836,-0.225
Tmin,4,at_least_10_mm,189,189,1.132,0.95
Tmin,4,under_10_mm,1268,1268,0.885,-0.226
Tmin,5,at_least_10_mm,189,189,1.203,1.034
Tmin,5,under_10_mm,1267,1267,0.963,-0.226
Tmin,6,at_least_10_mm,189,189,1.318,1.156
Tmin,6,under_10_mm,1266,1266,1.015,-0.222
Tmin,7,at_least_10_mm,189,189,1.434,1.267
Tmin,7,under_10_mm,1265,1265,1.095,-0.231
Tmin,8,at_least_10_mm,189,189,1.548,1.384
Tmin,8,under_10_mm,1264,1264,1.192,-0.232
Tmin,9,at_least_10_mm,189,189,1.674,1.452
Tmin,9,under_10_mm,1262,1262,1.294,-0.209
