valid_month,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
1,Tmax,1,under_10_mm,123,123,0.915,-0.208
1,Tmax,2,under_10_mm,122,122,0.972,-0.169
1,Tmax,3,under_10_mm,121,121,1.031,-0.199
1,Tmax,4,under_10_mm,120,120,1.03,-0.213
1,Tmax,5,under_10_mm,119,119,1.099,-0.252
1,Tmax,6,under_10_mm,118,118,1.175,-0.275
1,Tmax,7,under_10_mm,117,117,1.326,-0.293
1,Tmax,8,under_10_mm,116,116,1.427,-0.346
1,Tmax,9,under_10_mm,115,115,1.53,-0.296
1,Tmin,1,under_10_mm,123,123,0.636,-0.299
1,Tmin,2,under_10_mm,122,122,0.708,-0.023
1,Tmin,3,under_10_mm,121,121,0.807,0.002
1,Tmin,4,under_10_mm,120,120,0.875,0.022
1,Tmin,5,under_10_mm,119,119,0.959,0.05
1,Tmin,6,under_10_mm,118,118,1.051,0.036
1,Tmin,7,under_10_mm,117,117,1.193,0.089
1,Tmin,8,under_10_mm,116,116,1.359,0.116
1,Tmin,9,under_10_mm,115,115,1.547,0.131
2,Tmax,1,at_least_10_mm,6,6,0.85,-0.75
2,Tmax,1,under_10_mm,107,107,1.087,-0.435
2,Tmax,2,at_least_10_mm,6,6,1.183,-0.417
2,Tmax,2,under_10_mm,107,107,1.246,-0.444
2,Tmax,3,at_least_10_mm,6,6,1.317,0.083
2,Tmax,3,under_10_mm,107,107,1.281,-0.565
2,Tmax,4,at_least_10_mm,6,6,1.383,0.583
2,Tmax,4,under_10_mm,107,107,1.322,-0.668
2,Tmax,5,at_least_10_mm,6,6,1.65,0.917
2,Tmax,5,under_10_mm,107,107,1.382,-0.668
2,Tmax,6,at_least_10_mm,6,6,2.083,1.917
2,Tmax,6,under_10_mm,107,107,1.494,-0.715
2,Tmax,7,at_least_10_mm,6,6,2.583,2.417
2,Tmax,7,under_10_mm,107,107,1.605,-0.855
2,Tmax,8,at_least_10_mm,6,6,3.583,3.083
2,Tmax,8,under_10_mm,107,107,1.775,-1.07
2,Tmax,9,at_least_10_mm,6,6,4.083,3.583
2,Tmax,9,under_10_mm,107,107,1.949,-1.173
2,Tmin,1,at_least_10_mm,6,6,0.6,-0.167
2,Tmin,1,under_10_mm,107,107,0.704,-0.319
2,Tmin,2,at_least_10_mm,6,6,0.767,0.167
2,Tmin,2,under_10_mm,107,107,0.764,-0.038
2,Tmin,3,at_least_10_mm,6,6,0.967,0.833
2,Tmin,3,under_10_mm,107,107,0.82,-0.029
2,Tmin,4,at_least_10_mm,6,6,1.4,1.333
2,Tmin,4,under_10_mm,107,107,0.816,-0.085
2,Tmin,5,at_least_10_mm,6,6,2.233,2.167
2,Tmin,5,under_10_mm,107,107,0.848,-0.104
2,Tmin,6,at_least_10_mm,6,6,3.233,2.833
2,Tmin,6,under_10_mm,107,107,0.872,-0.113
2,Tmin,7,at_least_10_mm,6,6,3.733,3.333
2,Tmin,7,under_10_mm,107,107,1.05,-0.235
2,Tmin,8,at_least_10_mm,6,6,4.233,3.833
2,Tmin,8,under_10_mm,107,107,1.236,-0.337
2,Tmin,9,at_least_10_mm,6,6,4.733,4.0
2,Tmin,9,under_10_mm,107,107,1.414,-0.45
3,Tmax,1,at_least_10_mm,6,6,0.933,-0.033
3,Tmax,1,under_10_mm,118,118,1.186,-0.338
3,Tmax,2,at_least_10_mm,6,6,1.1,0.133
3,Tmax,2,under_10_mm,118,118,1.419,-0.389
3,Tmax,3,at_least_10_mm,6,6,1.267,-0.033
3,Tmax,3,under_10_mm,118,118,1.725,-0.465
3,Tmax,4,at_least_10_mm,6,6,1.233,0.133
3,Tmax,4,under_10_mm,118,118,1.848,-0.584
3,Tmax,5,at_least_10_mm,6,6,1.4,-0.367
3,Tmax,5,under_10_mm,118,118,1.967,-0.745
3,Tmax,6,at_least_10_mm,6,6,1.267,-0.7
3,Tmax,6,under_10_mm,118,118,2.138,-0.957
3,Tmax,7,at_least_10_mm,6,6,1.767,-0.2
3,Tmax,7,under_10_mm,118,118,2.323,-1.126
3,Tmax,8,at_least_10_mm,6,6,2.067,0.133
3,Tmax,8,under_10_mm,118,118,2.547,-1.33
3,Tmax,9,at_least_10_mm,6,6,2.567,0.8
3,Tmax,9,under_10_mm,118,118,2.767,-1.313
3,Tmin,1,at_least_10_mm,6,6,0.583,0.15
