valid_year,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
2022,Tmax,1,at_least_10_mm,47,47,0.93,0.198
2022,Tmax,1,under_10_mm,317,317,0.98,-0.18
2022,Tmax,2,at_least_10_mm,47,47,1.083,0.411
2022,Tmax,2,under_10_mm,316,316,1.139,-0.241
2022,Tmax,3,at_least_10_mm,47,47,1.202,0.602
2022,Tmax,3,under_10_mm,315,315,1.209,-0.355
2022,Tmax,4,at_least_10_mm,47,47,1.423,0.9
2022,Tmax,4,under_10_mm,314,314,1.264,-0.431
2022,Tmax,5,at_least_10_mm,47,47,1.577,1.049
2022,Tmax,5,under_10_mm,313,313,1.35,-0.468
2022,Tmax,6,at_least_10_mm,47,47,1.764,1.283
2022,Tmax,6,under_10_mm,312,312,1.431,-0.571
2022,Tmax,7,at_least_10_mm,47,47,1.972,1.453
2022,Tmax,7,under_10_mm,311,311,1.527,-0.649
2022,Tmax,8,at_least_10_mm,47,47,2.113,1.73
2022,Tmax,8,under_10_mm,310,310,1.624,-0.709
2022,Tmax,9,at_least_10_mm,47,47,2.406,2.07
2022,Tmax,9,under_10_mm,309,309,1.701,-0.678
2022,Tmin,1,at_least_10_mm,47,47,0.764,0.402
2022,Tmin,1,under_10_mm,317,317,0.683,-0.261
2022,Tmin,2,at_least_10_mm,47,47,0.926,0.806
2022,Tmin,2,under_10_mm,316,316,0.807,-0.227
2022,Tmin,3,at_least_10_mm,47,47,1.049,0.955
2022,Tmin,3,under_10_mm,315,315,0.845,-0.243
2022,Tmin,4,at_least_10_mm,47,47,1.253,1.168
2022,Tmin,4,under_10_mm,314,314,0.885,-0.24
2022,Tmin,5,at_least_10_mm,47,47,1.479,1.381
2022,Tmin,5,under_10_mm,313,313,0.958,-0.227
2022,Tmin,6,at_least_10_mm,47,47,1.76,1.615
2022,Tmin,6,under_10_mm,312,312,0.983,-0.239
2022,Tmin,7,at_least_10_mm,47,47,1.977,1.806
2022,Tmin,7,under_10_mm,311,311,1.049,-0.256
2022,Tmin,8,at_least_10_mm,47,47,2.189,2.019
2022,Tmin,8,under_10_mm,310,310,1.114,-0.276
2022,Tmin,9,at_least_10_mm,47,47,2.487,2.253
2022,Tmin,9,under_10_mm,309,309,1.241,-0.232
2023,Tmax,1,at_least_10_mm,45,45,0.938,0.364
2023,Tmax,1,under_10_mm,320,320,0.923,-0.152
2023,Tmax,2,at_least_10_mm,45,45,1.307,0.409
2023,Tmax,2,under_10_mm,320,320,1.138,-0.212
2023,Tmax,3,at_least_10_mm,45,45,1.591,0.698
2023,Tmax,3,under_10_mm,320,320,1.267,-0.293
2023,Tmax,4,at_least_10_mm,45,45,1.827,0.898
2023,Tmax,4,under_10_mm,320,320,1.354,-0.359
2023,Tmax,5,at_least_10_mm,45,45,1.973,0.942
2023,Tmax,5,under_10_mm,320,320,1.436,-0.378
2023,Tmax,6,at_least_10_mm,45,45,2.062,1.009
2023,Tmax,6,under_10_mm,320,320,1.531,-0.378
2023,Tmax,7,at_least_10_mm,45,45,2.058,1.12
2023,Tmax,7,under_10_mm,320,320,1.634,-0.446
2023,Tmax,8,at_least_10_mm,45,45,2.013,1.076
2023,Tmax,8,under_10_mm,320,320,1.762,-0.518
2023,Tmax,9,at_least_10_mm,45,45,2.169,1.098
2023,Tmax,9,under_10_mm,320,320,1.916,-0.552
2023,Tmin,1,at_least_10_mm,45,45,0.738,0.418
2023,Tmin,1,under_10_mm,320,320,0.63,-0.295
2023,Tmin,2,at_least_10_mm,45,45,0.902,0.551
2023,Tmin,2,under_10_mm,320,320,0.725,-0.255
2023,Tmin,3,at_least_10_mm,45,45,1.062,0.751
2023,Tmin,3,under_10_mm,320,320,0.82,-0.273
2023,Tmin,4,at_least_10_mm,45,45,1.098,0.84
2023,Tmin,4,under_10_mm,320,320,0.857,-0.264
2023,Tmin,5,at_least_10_mm,45,45,1.098,0.884
2023,Tmin,5,under_10_mm,320,320,0.927,-0.252
2023,Tmin,6,at_least_10_mm,45,45,1.058,0.929
2023,Tmin,6,under_10_mm,320,320,1.039,-0.242
2023,Tmin,7,at_least_10_mm,45,45,1.124,0.996
2023,Tmin,7,under_10_mm,320,320,1.145,-0.311
2023,Tmin,8,at_least_10_mm,45,45,1.16,1.04
2023,Tmin,8,under_10_mm,320,320,1.267,-0.292
2023,Tmin,9,at_least_10_mm,45,45,1.222,1.018
2023,Tmin,9,under_10_mm,320,320,1.415,-0.283
2024,Tmax,1,at_least_10_mm,57,57,1.219,0.282
2024,Tmax,1,under_10_mm,309,309,0.902,-0.222
2024,Tmax,2,at_least_10_mm,57,57,1.219,0.475
2024,Tmax,2,under_10_mm,309,309,1.059,-0.216
2024,Tmax,3,at_least_10_mm,57,57,1.395,0.581
2024,Tmax,3,under_10_mm,309,309,1.158,-0.245
2024,Tmax,4,at_least_10_mm,57,57,1.521,0.809
2024,Tmax,4,under_10_mm,309,309,1.235,-0.303
2024,Tmax,5,at_least_10_mm,57,57,1.433,0.844
2024,Tmax,5,under_10_mm,309,309,1.331,-0.313
2024,Tmax,6,at_least_10_mm,57,57,1.521,0.967
2024,Tmax,6,under_10_mm,309,309,1.364,-0.381
