metric,lead_days,mae_difference_c,cluster_ci_low_c,cluster_ci_high_c,n_forecasts_at_least_10_mm,n_forecasts_under_10_mm
Tmax,1,0.077,-0.038,0.19,189,1271
Tmax,2,0.065,-0.077,0.203,189,1270
Tmax,3,0.125,-0.015,0.257,189,1269
Tmax,4,0.217,0.055,0.392,189,1268
Tmax,5,0.204,0.039,0.382,189,1267
Tmax,6,0.242,0.055,0.437,189,1266
Tmax,7,0.296,0.112,0.495,189,1265
Tmax,8,0.221,0.039,0.432,189,1264
Tmax,9,0.296,0.091,0.536,189,1262
Tmin,1,0.155,0.049,0.259,189,1271
Tmin,2,0.196,0.087,0.312,189,1270
Tmin,3,0.226,0.098,0.355,189,1269
Tmin,4,0.247,0.118,0.378,189,1268
Tmin,5,0.24,0.104,0.366,189,1267
Tmin,6,0.303,0.146,0.454,189,1266
Tmin,7,0.339,0.178,0.497,189,1265
Tmin,8,0.356,0.17,0.542,189,1264
Tmin,9,0.38,0.183,0.575,189,1262
